game_id,id_play,drive_play_number,game_play_number,pos_team,pos_team_score,def_pos_team,def_pos_team_score,period,clock.minutes,clock.seconds,yards_to_goal,down,distance,yards_gained,scoring,play_type,play_text,ppa
401678896,401678896102919806,12,5,Abilene Christian,0,Stephen F. Austin,16,2,8,1,12,1,10,0,FALSE,Pass Incompletion,pass incomplete to Blayne Taylor,-0.2977696357
401678896,401678896102919805,12,4,Abilene Christian,0,Stephen F. Austin,16,2,8,1,22,1,10,10,FALSE,Rush,"Sam Hicks run for no gain to the SFA 22 for a 1ST down Stephen F. Austin Penalty, Defensive holding (Elijah Fields) to the SFA 12 for a 1ST down",0.1175282246
401678896,401678896102919804,12,3,Abilene Christian,0,Stephen F. Austin,16,2,8,1,44,3,20,22,FALSE,Rush,Sam Hicks run for 22 yds to the SFA 22 for a 1ST down,3.783101997
401678896,401678896102919803,12,2,Abilene Christian,0,Stephen F. Austin,16,2,8,1,33,2,9,-11,FALSE,Fumble Recovery (Own),"Maverick McIvor sacked by Ky Thomas for a loss of 11 yards to the SFA 44 Maverick McIvor fumbled, recovered by ACU Alan Hatten , return for 0 yards",-2.989904608
401678896,401678896102955702,12,8,Abilene Christian,6,Stephen F. Austin,16,2,4,42,3,1,10,-62,FALSE,Pass Incompletion,Maverick McIvor pass incomplete to Blayne Taylor,
401678896,401678896102919802,12,1,Abilene Christian,0,Stephen F. Austin,16,2,8,1,34,1,10,1,FALSE,Pass Reception,Maverick McIvor pass complete to J.J. Henry for 1 yd to the SFA 33,-0.5040939954
401678896,401678896102905401,10,5,Abilene Christian,0,Stephen F. Austin,16,2,9,45,79,4,14,0,FALSE,Punt,"Grant Nickel punt for 45 yds , Kylon Harris returns for no gain to the SFA 21 Stephen F. Austin Penalty, Offensive holding (Ryan Williams) to the SFA 22",
401678896,401678896102889506,10,4,Abilene Christian,0,Stephen F. Austin,16,2,11,4,77,3,12,-2,FALSE,Pass Reception,Maverick McIvor pass complete to Sam Hicks for a loss of 2 yards to the ACU 21,-0.1378495995
401678896,401678896102889505,10,3,Abilene Christian,0,Stephen F. Austin,16,2,11,4,77,2,12,0,FALSE,Pass Incompletion,"Maverick McIvor pass incomplete to Trey Cleveland, broken up by Josiah Cotton",-0.2489092114
401678896,401678896102889504,10,2,Abilene Christian,0,Stephen F. Austin,16,2,11,4,75,1,10,-2,FALSE,Rush,Isaiah Johnson run for a loss of 2 yards to the ACU 23,-0.8852575133
401678896,401678896102884501,8,4,Abilene Christian,0,Stephen F. Austin,9,2,11,54,83,4,13,0,FALSE,Punt,"Grant Nickel punt for 43 yds , Cannon Lemberg returns for no gain to the SFA 37",
401678896,401678896102858904,8,3,Abilene Christian,0,Stephen F. Austin,9,2,14,10,80,3,10,-3,FALSE,Sack,Maverick McIvor sacked by Xavier Potts for a loss of 3 yards to the ACU 17,-0.153252297
401678896,401678896102858903,8,2,Abilene Christian,0,Stephen F. Austin,9,2,14,10,80,2,10,0,FALSE,Rush,Sam Hicks run for no gain to the ACU 20,-0.2608138521
401678896,401678896102858902,8,1,Abilene Christian,0,Stephen F. Austin,9,2,14,10,80,1,10,0,FALSE,Pass Reception,Maverick McIvor pass complete to Sam Hicks for no gain to the ACU 20,-0.5586693797
401678896,401678896101998701,7,2,Abilene Christian,0,Stephen F. Austin,9,1,0,12,80,1,10,12,FALSE,Kickoff,"Kyler Meschi kickoff for 41 yds , Chris Martinez return for 12 yds to the ACU 49 Chris Martinez fumbled, recovered by SFA Cole Lemons  , return for no gain to the ACU 49",
401678896,401678896101998301,6,2,Abilene Christian,0,Stephen F. Austin,9,1,0,16,98,1,12,-2,TRUE,Safety,Sam Hicks run for a loss of 2 yards for a SAFETY,-1.909781594
401678896,401678896101997602,6,1,Abilene Christian,0,Stephen F. Austin,7,1,0,23,96,1,10,-2,FALSE,Penalty,"Abilene Christian Penalty, false start (Alan Hatten) to the ACU 2",
401678896,401678896101947301,4,12,Abilene Christian,0,Stephen F. Austin,7,1,5,26,20,4,4,37,FALSE,Field Goal Missed,Kyler Meschi 37 yd FG MISSED,
401678896,401678896101899811,4,11,Abilene Christian,0,Stephen F. Austin,7,1,10,1,20,3,4,0,FALSE,Pass Incompletion,"Maverick McIvor pass incomplete to J.J. Henry, broken up by Bruce Harmon",-0.5987268094
401678896,401678896101899810,4,10,Abilene Christian,0,Stephen F. Austin,7,1,10,1,26,2,10,6,FALSE,Rush,Isaiah Johnson run for 6 yds to the SFA 20,0.1630255509
401678896,401678896101899809,4,9,Abilene Christian,0,Stephen F. Austin,7,1,10,1,26,1,10,0,FALSE,Pass Incompletion,pass incomplete to Sam Hicks,-0.4710467975
401678896,401678896101899808,4,8,Abilene Christian,0,Stephen F. Austin,7,1,10,1,39,3,2,13,FALSE,Pass Reception,Maverick McIvor pass complete to Javon Gipson for 13 yds to the SFA 26 for a 1ST down,1.15542134
401678896,401678896101899807,4,7,Abilene Christian,0,Stephen F. Austin,7,1,10,1,42,2,5,3,FALSE,Pass Reception,Maverick McIvor pass complete to Nehemiah Martinez I for 3 yds to the SFA 39,-0.3595950998
401678896,401678896101899806,4,6,Abilene Christian,0,Stephen F. Austin,7,1,10,1,47,1,10,5,FALSE,Pass Reception,Maverick McIvor pass complete to Isaiah Johnson for 5 yds to the SFA 42,0.09737387866
401678896,401678896101899805,4,5,Abilene Christian,0,Stephen F. Austin,7,1,10,1,55,2,2,8,FALSE,Rush,Isaiah Johnson run for 8 yds to the SFA 47 for a 1ST down,0.4013208305
401678896,401678896101899804,4,4,Abilene Christian,0,Stephen F. Austin,7,1,10,1,63,1,10,8,FALSE,Rush,Isaiah Johnson run for 8 yds to the ACU 45,1.035987722
401678896,401678896101899803,4,3,Abilene Christian,0,Stephen F. Austin,7,1,10,1,78,2,10,15,FALSE,Pass Reception,"Maverick McIvor pass complete to Blayne Taylor for 15 yds to the ACU 37 for a 1ST down Stephen F. Austin Penalty, Defensive pass interference (Charles Demmings) to the ACU 37 for a 1ST down",1.835064285
401678896,401678896101899802,4,2,Abilene Christian,0,Stephen F. Austin,7,1,10,1,78,1,10,0,FALSE,Pass Incompletion,pass incomplete to Trey Cleveland,-0.6135902758
401678896,401678896101895101,2,4,Abilene Christian,0,Stephen F. Austin,0,1,10,48,86,4,6,0,FALSE,Punt,punt for no gain,
401678896,401678896101878304,2,3,Abilene Christian,0,Stephen F. Austin,0,1,12,16,86,3,6,0,FALSE,Pass Incompletion,pass incomplete to Trey Cleveland,-0.1403247146
401678896,401678896101878303,2,2,Abilene Christian,0,Stephen F. Austin,0,1,12,16,93,2,13,7,FALSE,Pass Reception,Maverick McIvor pass complete to Blayne Taylor for 7 yds to the ACU 14,0.09344224902
401678896,401678896101878302,2,1,Abilene Christian,0,Stephen F. Austin,0,1,12,16,90,1,10,-3,FALSE,Rush,Sam Hicks run for a loss of 3 yards to the ACU 7,-0.464787549
401678896,401678896101849902,1,1,Abilene Christian,0,Stephen F. Austin,0,1,15,0,65,1,10,0,FALSE,Kickoff,Kyler Meschi kickoff for 65 yds for a touchback,
401678896,401678896104949113,33,12,Abilene Christian,25,Stephen F. Austin,32,4,5,8,28,1,10,0,FALSE,Pass Incompletion,pass incomplete to Jacoby Boykins,-0.5120818738
401678896,401678896104949112,33,11,Abilene Christian,25,Stephen F. Austin,32,4,5,8,35,4,4,7,FALSE,Pass Reception,Carson Haggard pass complete to J.J. Henry for 7 yds to the SFA 28 for a 1ST down,2.110370194
401678896,401678896104949111,33,10,Abilene Christian,25,Stephen F. Austin,32,4,5,8,35,3,4,0,FALSE,Pass Incompletion,"Carson Haggard pass incomplete to Nehemiah Martinez I, broken up by Jaheim Mullen",-1.033747714
401678896,401678896104949110,33,9,Abilene Christian,25,Stephen F. Austin,32,4,5,8,35,2,4,0,FALSE,Pass Incompletion,"Carson Haggard pass incomplete to Trey Cleveland, broken up by Azariah Levells",-0.8725368451
401678896,401678896104949109,33,8,Abilene Christian,25,Stephen F. Austin,32,4,5,8,41,1,10,6,FALSE,Pass Reception,Carson Haggard pass complete to Sam Hicks for 6 yds to the SFA 35,0.2724195168
401678896,401678896104949108,33,7,Abilene Christian,25,Stephen F. Austin,32,4,5,8,55,4,10,14,FALSE,Pass Reception,Carson Haggard pass complete to J.J. Henry for 14 yds to the SFA 41 for a 1ST down,3.657498467
401678896,401678896104949107,33,6,Abilene Christian,25,Stephen F. Austin,32,4,5,8,55,3,10,0,FALSE,Pass Incompletion,pass incomplete to Blayne Taylor,-0.5497170178
401678896,401678896104949106,33,5,Abilene Christian,25,Stephen F. Austin,32,4,5,8,55,2,10,0,FALSE,Pass Incompletion,"Carson Haggard pass incomplete to Javon Gipson, broken up by Charles Demmings",-0.9098186367
401678896,401678896104949105,33,4,Abilene Christian,25,Stephen F. Austin,32,4,5,8,55,1,10,0,FALSE,Pass Incompletion,"Carson Haggard pass incomplete to Blayne Taylor, broken up by Bruce Harmon",-1.161869201
401678896,401678896104949104,33,3,Abilene Christian,25,Stephen F. Austin,32,4,5,8,70,3,10,15,FALSE,Rush,"Carson Haggard run for no gain to the ACU 30 for a 1ST down Stephen F. Austin Penalty, personal foul (Aaron Austin) to the ACU 45 for a 1ST down",2.739433494
401678896,401678896104949103,33,2,Abilene Christian,25,Stephen F. Austin,32,4,5,8,70,2,10,0,FALSE,Pass Incompletion,pass incomplete to Nehemiah Martinez I,-0.4604691796
401678896,401678896104949102,33,1,Abilene Christian,25,Stephen F. Austin,32,4,5,8,70,1,10,0,FALSE,Pass Incompletion,pass incomplete to Blayne Taylor,-0.8627910328
401678896,401678896104976401,33,13,Abilene Christian,25,Stephen F. Austin,32,4,2,35,28,2,10,0,FALSE,Interception,Carson Haggard pass intercepted,-3.723903652
